sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m
257,0.0598,-0.0200,1.2554,-7.6718,-1.1221,-0.8397,-31603.00,27.36,0.00
258,0.0554,-0.0286,1.2576,-7.8397,-1.0992,-0.6641,-31604.00,27.36,0.00
259,0.0620,-0.0300,1.2490,-7.6031,-1.2443,-0.8168,-31602.00,27.36,0.00
260,0.0547,-0.0300,1.2458,-7.6870,-1.1985,-0.8626,-31601.00,27.36,0.00
261,0.0579,-0.0271,1.2571,-7.7557,-1.0076,-0.7634,-31604.00,27.36,0.00
262,0.0608,-0.0303,1.2461,-7.9313,-1.2443,-0.6336,-31599.00,27.36,0.00
263,0.0557,-0.0317,1.2500,-7.7481,-1.1832,-0.7099,-31603.00,27.35,0.00
264,0.0596,-0.0286,1.2588,-7.6947,-1.0992,-0.6718,-31596.00,27.36,0.00
265,0.0579,-0.0298,1.2551,-7.9542,-1.1908,-0.6336,-31598.00,27.36,0.00
266,0.0527,-0.0334,1.2468,-7.7176,-1.2366,-0.6565,-31599.00,27.36,0.00
267,0.0566,-0.0276,1.2568,-7.8626,-1.2290,-0.7786,-31601.00,27.36,0.00
268,0.0610,-0.0327,1.2466,-7.7252,-1.2137,-0.8321,-31601.00,27.36,0.00
269,0.0562,-0.0222,1.2419,-7.7939,-1.2290,-0.7023,-31601.00,27.36,0.00
270,0.0583,-0.0300,1.2520,-7.6107,-1.3282,-0.6183,-31600.00,27.36,0.00
271,0.0630,-0.0273,1.2505,-7.9313,-1.3664,-0.7786,-31602.00,27.36,0.00
272,0.0522,-0.0361,1.2517,-7.8473,-1.3435,-0.7176,-31602.00,27.36,0.00
273,0.0559,-0.0249,1.2383,-7.8397,-1.1908,-0.7557,-31600.00,27.36,0.00
274,0.0576,-0.0264,1.2524,-7.5725,-1.2748,-0.7252,-31601.00,27.36,0.00
275,0.0623,-0.0295,1.2517,-7.8321,-1.3130,-0.7634,-31599.00,27.36,0.00
276,0.0591,-0.0330,1.2471,-7.6107,-1.3053,-0.8550,-31599.00,27.36,0.00
277,0.0630,-0.0283,1.2515,-7.5496,-1.1603,-0.6794,-31603.00,27.36,0.00
278,0.0559,-0.0269,1.2534,-7.8015,-1.2595,-0.7481,-31607.00,27.35,0.00
279,0.0603,-0.0308,1.2466,-7.7481,-1.2366,-0.7023,-31601.00,27.36,0.00
280,0.0586,-0.0295,1.2493,-7.6336,-1.0687,-0.7710,-31603.00,27.36,0.00
281,0.0574,-0.0225,1.2510,-7.8550,-1.2748,-0.9466,-31601.00,27.36,0.00
282,0.0618,-0.0283,1.2458,-7.9313,-1.3130,-0.7939,-31604.00,27.36,0.00
283,0.0554,-0.0273,1.2563,-7.6489,-1.2748,-0.6794,-31600.00,27.37,0.00
284,0.0627,-0.0278,1.2517,-7.6336,-1.2443,-0.8473,-31600.00,27.37,0.00
285,0.0605,-0.0281,1.2493,-7.6794,-1.1679,-0.8321,-31603.00,27.36,0.00
286,0.0674,-0.0271,1.2476,-7.9237,-1.4046,-0.8092,-31603.00,27.37,0.00
287,0.0615,-0.0251,1.2454,-7.5420,-1.2214,-0.8702,-31601.00,27.37,0.00
288,0.0581,-0.0261,1.2454,-7.7863,-1.3740,-0.6794,-31599.00,27.37,0.00
289,0.0605,-0.0261,1.2434,-7.7176,-1.2672,-0.8015,-31602.00,27.37,0.00
290,0.0579,-0.0283,1.2478,-7.8473,-1.1374,-0.6260,-31601.00,27.37,0.00
291,0.0571,-0.0300,1.2478,-7.7786,-1.0992,-0.7863,-31602.00,27.37,0.00
